id,title,author,year_of_publication,publisher,,,
334,Blue Heaven (Contemporary American Fiction S.),Joe Keenan,1988,Penguin Books,,,
335,Love in the Time of Cholera (Penguin Great Books of the 20th Century),Gabriel Garcia Marquez,1994,Penguin Books,,,
336,Red Dwarf,Grant Naylor,2005,Penguin Books Ltd,,,
337,Uncle Dynamite,P.G. Wodehouse,1991,Penguin Books,,,
338,We Are Still Married: Stories and Letters,Garrison Keillor,1990,Penguin Books,,,
339,Midnight's Children,Salman Rushdie,1995,Penguin Books,,,
340,Haroun and the Sea of Stories,Salman Rushdie,1991,Penguin Putnam~trade,,,
341,Cantor's Dilemma,Carl Djerassi,1991,Penguin Books,,,
342,The Sixteenth Round: From Number 1 Contender To #45472,Rubin Carter,1999,Penguin Books,,,
343,The Indoor Boy,Antony Sher,1992,Penguin Books Ltd,,,
344,The Way of a Boy: A Memoir of Java,Ernest Hillen,1995,Penguin USA,,,
345,Travels With My Aunt (Twentieth Century Classics),Graham Greene,1993,Penguin Books,,,
346,On the Road (Penguin 20th Century Classics),Jack Kerouac,1998,Penguin USA (Paper),,,
347,Shamanism: Archaic techniques of ecstasy,Mircea Eliade,1989,Arkana,,,
348,The Tao of Love and Sex,Jolan Chang,1993,Penguin Books,,,
349,Swimming in the Volcano: A Novel,Bob Shacochis,1994,Penguin Books,,,
350,Going in,Jenny Newman,1995,Penguin Books Ltd,,,
351,The Dog I.Q. Test,Melissa Miller,1994,Penguin Books,,,
352,Songs in Ordinary Time (Oprah's Book Club (Paperback)),Mary McGarry Morris,1996,Penguin Books,,,
353,Scent of Dried Roses,Tim Lott,0,Penguin Putnam~trade,,,
354,Snow Angels,Stewart O'Nan,1995,Penguin Books,,,
355,Finding the Right Place at the Right Time, Everything You Need to Know About Retirement Housing,Joan Cleveland,1996,Penguin Books,,
356,The Brimstone Wedding,Barbara Vine,1997,Penguin Books Ltd,,,
357,Therapy,David Lodge,1996,Penguin Putnam~trade,,,
358,Felicia's Journey,William Trevor,1996,Penguin Books,,,
359,A Light in the Window (The Mitford Years),Jan Karon,1996,Penguin Books,,,
360,Medicine River,Thomas King,1991,Penguin Books,,,
361,The Snow Leopard (Penguin Nature Classics),Peter Matthiessen,1996,Penguin Books,,,
362,A Boy Named Phyllis: A Suburban Memoir,Frank Decaro,1997,Penguin Books,,,
363,Of Love and Other Demons (Penguin Great Books of the 20th Century),Gabriel Garcia Marquez,1996,Penguin Books,,,
364,"These High, Green Hills (The Mitford Years)",Jan Karon,1997,Viking Books,,,
365,Bed &amp Breakfast,Lois Battle,1997,Penguin Books,,,
366,The Island of the Day Before,Umberto Eco,1996,Penguin Books,,,
367,Home Tree Home: Principles of Treehouse Construction and Other Tall Tales,Peter Nelson,1997,Penguin Books,,,
368,Criminals,Margot Livesey,1997,Penguin Books,,,
369,Out to Canaan (The Mitford Years),Jan Karon,1998,Viking Books,,,
370,Larry's Party,Carol Shields,1998,Penguin Books,,,
371,Please Kill Me: The Uncensored Oral History of Punk,Legs McNeil,1997,Penguin Books,,,
372,Are You Experienced?,William Sutcliffe,1998,Penguin Books Ltd,,,
373,Cider with Rosie,Laurie Lee,1998,Penguin Books Ltd,,,
374,On the Road (Essential.penguin S.),Jack Kerouac,1998,Penguin Books Ltd,,,
375,"Galileo's Daughter: A Historical Memoir of Science, Faith, and Love",Dava Sobel,2000,Penguin Books,,,
376,The Big Book of Calm,Paul Wilson,1999,Michael Joseph,,,
377,Gravity's Rainbow,Thomas Pynchon,2000,Penguin Books,,,
378,The Penguin Book of Twentieth Century Speeches,Brian Macarthur,2000,Penguin Books,,,
379,The Deep End of the Ocean (Oprah's Book Club),Jacquelyn Mitchard,1999,Penguin Books,,,
380,We want some too: Underground desire and the reinvention of mass culture,Hal Niedzviecki,2000,Penguin Putnam,,,
381,Manhattan Memoir,Mary Cantwell,2000,Penguin Books,,,
382,"Of Mice and Men (Steinbeck \""Essentials\"")",John Steinbeck,2001,Penguin Books Ltd,,,
383,The Girls' Guide to Hunting and Fishing,Melissa Bank,2000,Penguin Books,,,
384,Fever Pitch,Nick Hornby,2000,Penguin Books Ltd,,,
385,High Fidelity,Nick Hornby,2000,Penguin Books Ltd,,,
386,Disgrace,J. M. Coetzee,2000,Penguin Books,,,
387,Mr Phillips,John Lanchester,2001,Penguin Books,,,
388,S.: A Novel About the Balkans,Slavenka Drakulic,2001,Penguin Books,,,
389,Bridget Jones: The Edge of Reason,Helen Fielding,2001,Penguin Books,,,
390,Pippi Longstocking (Seafarer Book),Astrid Ericsson Lindgren,1997,Puffin Books,,,
391,The Neverending Story,Michael Ende,1985,Penguin USA,,,
392,House of Stairs,William Sleator,1991,Puffin Books,,,
393,Knights of the Kitchen Table (Time Warp Trio),Jon Scieszka,1994,Puffin Books,,,
394,The Not-So-Jolly Roger (Time Warp Trio),Jon Scieszka,1993,Puffin Books,,,
395,My Side of the Mountain,Jean Craighead George,2000,Scott Foresman (Pearson K-12),,,
396,The Jungle Book (Puffin Classics),Rudyard Kipling,1987,Penguin USA,,,
397,Kiss the Dust,Elizabeth Laird,1994,Puffin Books,,,
398,The Gizmo,Paul Jennings,1995,Puffin,,,
399,James and the Giant Peach,Roald Dahl,2000,Penguin USA (Paper),,,
400,"The Ear, the Eye, and the Arm",Nancy Farmer,1995,Puffin Books,,,
401,The Root Cellar,Janet Louise Swoboda Lunn,1996,Puffin Books,,,
402,You Can Surf the Net: Your Guide to the World of the Internet,Marc Gascoigne,1996,Puffin Books,,,
403,The Westing Game (Now in Speak!),Ellen Raskin,1997,Penguin Putnam Books for Young Readers,,,
404,Little Women (Penguin Classics),Louisa May Alcott,1989,Penguin Books,,,
405,The Adventures of Tom Sawyer,Mark Twain,1987,Penguin Books,,,
406,Rights of Man (Classics S.),Thomas Paine,1969,Penguin Books Ltd,,,
407,Walt Whitman: The Complete Poems (Penguin Classics),Francis Murphy,1990,Penguin Books,,,
408,Far from the Madding Crowd (Penguin Classics),Thomas Hardy,1989,Penguin Books,,,
409,Tess of the D'Urbervilles (Penguin Classics),Thomas Hardy,1978,Penguin Books,,,
410,"\""The Twilight of the Idols (Classics S.)",Friedrich Nietzsche,1969,Penguin Books Ltd,,,
411,The Jewish War (Penguin Classics),Flavius Josephus,1984,Penguin Books,,,
412,The Brothers Karamazov (Penguin Classics),Fyodor Dostoyevsky,1993,Penguin Books,,,
413,Dictionary of Geography (Reference Books),Wilfred George Moore,1985,Penguin USA,,,
414,The Penguin Dictionary of Geology (Penguin Reference Books),D. G. A. Whitten,1973,Penguin USA,,,
415,Emma (Penguin Popular Classics),Jane Austen,1994,Penguin Books Ltd,,,
416,Wuthering Heights (Penguin Popular Classics),Emily Bronte,1994,Penguin Books Ltd,,,
417,Nostromo (Penguin Popular Classics),Joseph Conrad,1994,Penguin Books Ltd,,,
418,Picture of Dorian Gray,Oscar Wilde,0,Penguin Putnam~mass,,,
419,Sense and Sensibility (Penguin Popular Classics),Jane Austen,1994,Penguin Books Ltd,,,
420,The Adventures of Tom Sawyer (Penguin Popular Classics),Mark Twain,1994,Penguin Books Ltd,,,
421,Mansfield Park (Penguin Popular Classics),Jane Austen,1994,Penguin Books Ltd,,,
422,Alice's Adventures in Wonderland (Penguin Popular Classics),Lewis Carroll,1994,Penguin Books Ltd,,,
423,Fairy Tales (Penguin Popular Classics),H.C. Andersen,1995,Penguin Books Ltd,,,
424,Scottish Folk and Fairy Tales (Penguin Popular Classics),Gordon Jarvie,1997,Penguin Books Ltd,,,
425,Lady Chatterley's Lover (Penguin Popular Classics),D.H. Lawrence,1997,Penguin Books Ltd,,,
426,Welcome to My Planet: Where English Is Sometimes Spoken,Shannon Olson,2001,Penguin Books,,,
427,Cherry: A Memoir,Mary Karr,2001,Penguin Books,,,
428,Vineland,Thomas Pynchon,1997,Penguin Books,,,
429,Fifth Business (Penguin Twentieth-Century Classics),Robertson Davies,2001,Penguin Books,,,
430,It Was a Dark and Stormy Night,Janet Ahlberg,1998,Penguin Uk,,,
431,The Twits (Puffin Novels),Roald Dahl,1998,Puffin Books,,,
432,The Wonderful Story of Henry Sugar and Six More,Roald Dahl,2000,Puffin Books,,,
433,The Hero and the Crown,Robin McKinley,2000,Puffin Books,,,
434,Who Was the Man in the Iron Mask?: And Other Historical Enigmas (Penguin Classic History S.),Hugh Ross Williamson,2002,Penguin Books,,,
435,Icy Sparks,Gwyn Hyman Rubio,2001,Penguin Books,,,
436,The Florabama Ladies' Auxiliary &amp Sewing Circle,Lois Battle,2002,Penguin Books,,,
437,The Grapes of Wrath: John Steinbeck Centennial Edition (1902-2002),John Steinbeck,2002,Penguin Books,,,
438,City of Djinns: A Year in Delhi,William Dalrymple,2003,Penguin Books,,,
439,The Secret Life of Bees,Sue Monk Kidd,2003,Penguin Books,,,
440,The Eyre Affair: A Novel,Jasper Fforde,2003,Penguin Books,,,
441,Diamonds Are Forever: A James Bond Novel,Ian Fleming,2002,Penguin Books,,,
442,"Word Freak: Heartbreak, Triumph, Genius, and Obsession in the World of Competitive Scrabble Players",Stefan Fatsis,2002,Penguin Books,,,
443,A Noble Radiance,Donna Leon,2003,Penguin Books,,,
444,The Disappearance of Sherlock Holmes,Larry Millett,2003,Penguin Books,,,
445,Lost in a Good Book (Thursday Next Novels (Penguin Books)),Jasper Fforde,2004,Penguin Books,,,
446,East of Eden (Oprah's Book Club),John Steinbeck,2003,Penguin Books,,,
447,Fire Bringer,David Clement-Davies,2002,Puffin Books,,,
448,Baba: A Return to China upon My Father's Shoulders,Belle Yang,1994,Harcourt,,,
449,Snow Falling on Cedars,David Guterson,1994,Harcourt,,,
450,Homosexuality In History,Colin Spencer,1996,Harcourt,,,
451,The Magician's Assistant,Ann Patchett,1997,Harcourt,,,
452,Africans in America: AMERICAN (AMERI)ca's Journey through Slavery,Charles Johnson,1998,Harcourt,,,
453,Slammerkin,Emma Donoghue,2001,Harcourt,,,
454,Baudolino,Umberto Eco,2002,Harcourt,,,
455,Life of Pi,Yann Martel,2002,Harcourt,,,
456,Q,Luther Blissett,2004,Harcourt,,,
457,Bailey's Cafe,Gloria Naylor,1992,Harcourt,,,
458,The Name of the Rose,Umberto Eco,1983,Harcourt,,,
459,Hang a Thousand Trees with Ribbons: The Story of Phillis Wheatley,Ann Rinaldi,1996,Gulliver Books Paperbacks,,,
460,User Unfriendly,Vivian Vandevelde,1991,Harcourt Childrens Books,,,
461,I Want to Be...a Veterinarian (I Want to Be... Series),Stephanie Maze,1997,Harcourt,,,
462,The Silent Storm: Scholastic Edition,Sherry Garland,1996,Harcourt,,,
463,Elidor,Alan Garner,1999,Magic Carpet Books,,,
464,The Owl Service,Alan Garner,1999,Magic Carpet Books,,,
465,The Borrowers Avenged,Mary Norton,1990,Odyssey Classics,,,
466,High Wizardry: The Third Book in the Young Wizards Series,Diane Duane,2001,Magic Carpet Books,,,
467,Deep Wizardry: The Second Book in the Young Wizards Series,Diane Duane,2001,Magic Carpet Books,,,
468,Our Latin Heritage (Our Latin Heritage),Lillian M. Hines,1969,Holt Rinehart and Winston,,,
469,Winterdance: The Fine Madness of Running the Iditarod,Gary Paulsen,1995,Harvest Books,,,
470,Winter's Tale,Mark Helprin,1995,Harvest Books,,,
471,Heart Conditions,Sara Lewis,1997,Harvest Books,,,
472,Mister Sandman (Harvest Book),Barbara Gowdy,1998,Harvest Books,,,
473,Where or When  : A Novel,Anita Shreve,1999,Harvest Books,,,
474,The Years with Laura Diaz,Carlos Fuentes,2001,Harvest Books,,,
475,Blindness (Harvest Book),Jose Saramago,1999,Harvest Books,,,
476,East of the Mountains (Vintage Contemporaries (Paperback)),David Guterson,2000,Harvest Books,,,
477,"My Father, Dancing (Harvest Book)",Bliss Broyard,2000,Harvest Books,,,
478,Life of Pi,Yann Martel,2003,Harvest Books,,,
479,All the King's Men,Robert Penn Warren,1982,Harvest Books,,,
480,The Little Prince,Antoine de Saint-Exup̩ry,1968,Harcourt,,,
481,Moments of Being: Second Edition,Virginia Woolf,1985,Harcourt,,,
482,Mrs Dalloway,Virginia Woolf,1990,Harvest Books,,,
483,The Nine Tailors,Dorothy Leigh Sayers,1966,Harvest Books,,,
484,A Passage to India,E.M. Forster,1965,Harvest Books,,,
485,A Room of One's Own,Virginia Woolf,1989,Harcourt,,,
486,Selected Poems (Harvest Book),T. S. Eliot,1967,Harvest Books,,,
487,"Tartuffe, by Moliere",Richard Wilbur,1968,Harvest Books,,,
488,Virginia Woolf: A Biography,Quentin Bell,1974,Harvest Books,,,
489,Othello (3rd Series),William Shakespeare,1996,Thomas Nelson Publishers,,,
490,Dada and Surrealism: A Very Short Introduction (Very Short Introductions),David Hopkins,2004,Oxford University Press,,,
491,Cranford (The World's Classics),Elizabeth Gaskell,1982,Oxford University Press,,,
492,Persuasion (World's Classics),Jane Austen,1981,Oxford University Press,,,
493,No Name (World's Classics),William Wilkie Collins,1987,Oxford University Press,,,
494,Kidnapped and Catriona (World Classics),Robert Louis Stevenson,1986,Oxford University Press,,,
495,The New Oxford Book of Light Verse (Oxford paperbacks),Kingsley Amis,1987,Oxford Univ Pr,,,
496,"Four Major Plays: A Doll's House, Ghosts, Hedda Gabler, the Master Builder (Oxford World's Classics)",Henrik Ibsen,1998,Oxford University Press,,,
497,The Selfish Gene,Richard Dawkins,1990,Oxford University Press,,,
498,Tibetan Book of the Dead,W. Y. Evans-Wentz,1974,Oxford University Press,,,
499,What a Wonderful World: A Lifetime of Recordings,Bob Thiele,1995,Oxford University Press,,,
500,Managing Your Mind: The Mental Fitness Guide,Gillian Butler,1995,American Philological Association,,,
501,Classical Mythology,Mark P. O. Morford,2002,Oxford University Press,,,
502,Julius Caesar (Oxford School Shakespeare),William Shakespeare,2001,Oxford University Press,,,
503,How Not to Say What You Mean: A Dictionary of Euphemisms (Oxford Paperback Reference S.),R. W. Holder,2003,Oxford University Press,,,
504,Metaphysical Lyrics Poems 17 Cen,Grierson,1997,Oxford University Press,,,
505,The Continuum Concept: In Search of Happiness Lost (Classics in Human Development),Jean Liedloff,1986,Addison Wesley Publishing Company,,,
506,The Sibling Society,Robert W. Bly,1996,Perseus Books Group,,,
507,Macromedia Dreamweaver 4: Training from the Source,Khristine Page,2001,Macromedia Press,,,
508,101 Bright Ideas: Esl Activities for All Ages,Claire Maria Ford,1996,Pearson Higher Education,,,
509,Including Students with Special Needs: A Practical Guide for Classroom Teachers,Marilyn Penovich Friend,1998,Prentice Hall,,,
510,"Christianity, Social Tolerance, and Homosexuality: Gay People in Western Europe from the Beginning of the Christian Era to the Fourteenth Century",John Boswell,1981,University of Chicago Press,,,
511,French Lessons: A Memoir,Alice Kaplan,1994,University of Chicago Press,,,
512,The  Garden of Ediacara,Mark A. S. McMenamin,2000,Columbia University Press,,,
513,The Vital Illusion,Jean Baudrillard,2001,Columbia University Press,,,
514,Scarfe Land,Gerald Scarfe,1990,Hamish Hamilton,,,
515,Pacific Northwest,Hans Johannes Hoefer,1985,Chambers Harrap Publishers Ltd,,,
516,Hollywood Speaks: Deafness and the Film Entertainment Industry,John S. Schuchman,1999,University of Illinois Press,,,
517,"Stimulus Factor, The",David Freemantle,2000,Financial Times/Prentice Hall,,,
518,Archery Anatomy: An Introduction to Techniques for Improved Performance,Ray Axford,1996,Souvenir Press,,,
519,No-No Boy,John Okada,1978,University of Washington Press,,,
520,Cosima Wagner's Diaries: An Abridgement,Cosima Wagner,1997,Yale University Press,,,
521,The Sisters of Henry VIII: The Tumultuous Lives of Margaret of Scotland and Mary of France,Maria Perry,2000,Da Capo Press,,,
522,The Erotomaniac: The Secret Life of Henry Spencer Ashbee,Ian Gibson,2001,Da Capo Press,,,
523,A Delusion of Satan: The Full Story of the Salem Witch Trials,Frances Hill,2002,DaCapo Press,,,
524,101 Dalmatians,Justine Korman,1996,Golden Books Publishing Company,,,
525,"Whispering Rabbit, The",Margaret Wise Brown,1992,Golden Books,,,
526,Precious Moments: What a Wonderful World (Golden Super Shape Book),Golden Books,1992,Golden Books,,,
527,My First Book about Space (Golden Look-Look Books (Paperback)),Dinah L. Moche,1997,Golden Books,,,
528,"Bye, Bye, Butterfree (Pokemon Adventure (Golden Numbered))",Diane Muldrow,1999,Golden Books,,,
529,Cars and Trucks and Things That Go,RICHARD SCARRY,1998,Golden Books,,,
530,Peters Welcom Tell a Tale Book,Maida Silverman,0,Golden Books,,,
531,Trixie Belden and the Mystery Off Glen Road (Mystery Off Glen Road),Julie Campbell,1977,Random House Childrens Books,,,
532,Your Erroneous Zones,Wayne W. Dyer,1976,Harpercollins,,,
533,Springs in the Valley,L. B. Cowman,1980,Zondervan Publishing Company,,,
534,Ten Secrets for the Man in the Mirror,Patrick Morley,2000,Zondervan Publishing House,,,
535,Windsong (Serenade/Serenata No. 14),Linda Herring,1985,Zondervan,,,
536,The Boys and Their Baby (Stonewall Inn Editions),Larry Wolff,1989,St Martins Pr,,,
537,Brighten the Corner Where You Are,Fred Chappell,1989,St Martins Pr,,,
538,Confessions of a Failed Southern Lady,Florence King,1990,St. Martin's Press,,,
539,Shakespeare on Love: Quotations from the Plays and Poems,William Shakespeare,1991,St. Martin's Press,,,
540,Muckraking:  Three Landmark Articles,Fitzpatrick,1994,Bedford/St. Martin's,,,
541,A Safe Place to Die,Janice Law,1993,St Martins Pr,,,
542,Dancing in the Dark,Donald Thomas,1994,St Martins Pr,,,
543,The Bette Davis Murder Case,George Baxt,1994,St Martins Pr,,,
544,Judith Sargent Murray: A Brief Biography With Documents (The Bedford Series in History and Culture),Sheila L. Skemp,1998,Bedford/St. Martin's,,,
545,A Monstrous Regiment of Women,Laurie R. King,1995,St Martins Pr,,,
546,The Florence King Reader,Florence King,1996,St. Martin's Press,,,
547,Brewing Up a Storm: A John Thatcher Mystery,Emma Lathen,1996,St Martins Pr,,,
548,The Wind in the Willows,Kenneth Grahame,1996,St. Martin's Press,,,
549,Behind the Scenes at the Museum : A Novel,Kate Atkinson,1999,Picador,,,
550,Delta Style: Eve Wasn't a Size 6 and Neither Am I,Delta Burke,1998,St. Martin's Press,,,
551,Mary Queen of Scotland &amp The Isles : A Novel,Margaret George,1997,St. Martin's Griffin,,,
552,Seeing Calvin Coolidge in a Dream : A Novel,John Derbyshire,1997,St. Martin's Griffin,,,
553,The Winter King: A Novel of Arthur (The Warlord Chronicles: I),Bernard Cornwell,1997,St. Martin's Griffin,,,
554,The Climb: Tragic Ambitions on Everest,Anatoli Boukreev,1997,St Martins Pr,,,
555,Popcorn,Ben Elton,1997,Thomas Dunne Books,,,
556,The Red Tent : A Novel,Anita Diamant,1997,St. Martin's Press,,,
557,The River Beyond the World,Janet Peery,1997,Picador USA,,,
558,Bachelor Brothers' Bed &amp Breakfast,Bill Richardson,1997,St. Martin's Griffin,,,
559,Death in Kenya,Mary Margaret Kaye,1983,St Martins Pr,,,
560,An Arrow's Flight,Mark Merlis,1998,St Martins Pr,,,
561,Incident at Twenty-Mile,Trevanian,1998,St Martins Pr,,,
562,The Red Tent (Bestselling Backlist),Anita Diamant,1998,Picador USA,,,
563,The Next Step in the Dance : A Novel,Tim Gautreaux,1999,Picador,,,
564,One Thousand White Women : The Journals of May Dodd: A Novel,Jim Fergus,1999,St. Martin's Griffin,,,
565,Slightly  Chipped: Footnotes in Booklore,Lawrence Goldstone,1999,St Martins Pr,,,
566,Stately Pursuits,Katie Fforde,1999,Griffin Trade Paperback,,,
567,Vincent Price: A Daughter's Biography,Victoria Price,1999,St Martins Pr,,,
568,The Hours : A Novel,Michael Cunningham,2000,Picador,,,
569,We Wish to Inform You That Tomorrow We Will be Killed With Our Families: Stories from Rwanda,Philip Gourevitch,1999,Picador USA,,,
570,Dr. Atkins' Age-Defying Diet Revolution,Robert Atkins,1999,St Martins Pr,,,
571,Fast Women,Jennifer Crusie,2001,St. Martin's Press,,,
572,The Pilgrimage Road to Santiago : The Complete Cultural Handbook,David M. Gitlitz,2000,St. Martin's Griffin,,,
